Network Name,Full Component Name,Label Name,
dorsal attention B,frontal eye fields,17Networks_LH_DorsAttnB_FEF,17Networks_LH_DorsAttnB_FEF_3
dorsal attention B,precentral ventral,17Networks_LH_DorsAttnB_PrCv,17Networks_LH_DorsAttnB_PrCv_1
salience / ventral attention A,parietal operculum,17Networks_LH_SalVentAttnA_ParOper,17Networks_LH_SalVentAttnA_ParOper_1
salience / ventral attention A,parietal operculum,17Networks_LH_SalVentAttnA_ParOper,17Networks_LH_SalVentAttnA_ParOper_2
salience / ventral attention A,parietal operculum,17Networks_LH_SalVentAttnA_ParOper,17Networks_LH_SalVentAttnA_ParOper_3
salience / ventral attention A,insula,17Networks_LH_SalVentAttnA_Ins,17Networks_LH_SalVentAttnA_Ins_1
salience / ventral attention A,insula,17Networks_LH_SalVentAttnA_Ins,17Networks_LH_SalVentAttnA_Ins_2
salience / ventral attention A,insula,17Networks_LH_SalVentAttnA_Ins,17Networks_LH_SalVentAttnA_Ins_3
salience / ventral attention A,insula,17Networks_LH_SalVentAttnA_Ins,17Networks_LH_SalVentAttnA_Ins_4
salience / ventral attention A,frontal operculum ,17Networks_LH_SalVentAttnA_FrOper,17Networks_LH_SalVentAttnA_FrOper_1
salience / ventral attention A,frontal operculum ,17Networks_LH_SalVentAttnA_FrOper,17Networks_LH_SalVentAttnA_FrOper_2
salience / ventral attention A,parietal medial,17Networks_LH_SalVentAttnA_ParMed,17Networks_LH_SalVentAttnA_ParMed_1
salience / ventral attention A,parietal medial,17Networks_LH_SalVentAttnA_ParMed,17Networks_LH_SalVentAttnA_ParMed_2
salience / ventral attention A,parietal medial,17Networks_LH_SalVentAttnA_ParMed,17Networks_LH_SalVentAttnA_ParMed_3
salience / ventral attention A,frontal medial,17Networks_LH_SalVentAttnA_FrMed,17Networks_LH_SalVentAttnA_FrMed_1
salience / ventral attention A,frontal medial,17Networks_LH_SalVentAttnA_FrMed,17Networks_LH_SalVentAttnA_FrMed_2
salience / ventral attention A,frontal medial,17Networks_LH_SalVentAttnA_FrMed,17Networks_LH_SalVentAttnA_FrMed_3
salience / ventral attention B,lateral prefrontal cortex,17Networks_LH_SalVentAttnB_PFCl,17Networks_LH_SalVentAttnB_PFCl_1
salience / ventral attention B,lateral prefrontal cortex,17Networks_LH_SalVentAttnB_PFCl,17Networks_LH_SalVentAttnB_PFCl_2
salience / ventral attention B,lateral prefrontal cortex,17Networks_LH_SalVentAttnB_PFCl,17Networks_LH_SalVentAttnB_PFCl_3
